SMILES,pIC50
C=CC(=O)Nc1cc(N2CC(OC)C2)ccc1Nc1ncc2cc(-c3c(Cl)c(OC)cc(OC)c3Cl)c3nccn3c2n1,7.301029996
C=CC(=O)Nc1ccccc1Nc1ncc2cc(-c3c(Cl)c(OC)cc(OC)c3Cl)c3nccn3c2n1,7.301029996
C=CC(=O)N1CCC(n2nc3c(=O)[nH]nc(N)c3c2-c2oc3cc(Cl)ccc3c2C)CC1,7
C=CC(=O)N1CCC(n2nc3c(=O)[nH]nc(N)c3c2-c2oc3cc(F)ccc3c2C)CC1,7
C=CC(=O)N1CCC(n2nc3c(=O)[nH]nc(N)c3c2-c2oc3ccc(C(F)(F)F)cc3c2C)CC1,7
C=CC(=O)N1CCC(n2nc3c(=O)[nH]nc(N)c3c2-c2oc3ccc(F)cc3c2C)CC1,7
C=CC(=O)N1CCCC(n2nc3c(=O)[nH]nc(N)c3c2-c2oc3ccc(OC)cc3c2C)C1,7
C=C(C#N)C(=O)N1CCC(n2nc3c(=O)[nH]nc(N)c3c2-c2oc3ccc(C)cc3c2C)CC1,7
C=CC(=O)N1CC(Cn2nc3c(=O)[nH]nc(N)c3c2-c2oc3ccc(C)cc3c2C)C1,7
Cc1ccc2oc(-c3c4c(N)n[nH]c(=O)c4nn3C3CCOCC3)c(C)c2c1,7
C=CC(=O)N1CCCC(n2nc3c(=O)[nH]nc(N)c3c2-c2oc3ccc(C)cc3c2C)C1,7
C=CC(=O)N1CCCC1Cn1nc2c(=O)[nH]nc(N)c2c1-c1oc2ccc(C)cc2c1C,7
C=CC(=O)NC1CCC(n2nc3c(=O)[nH]nc(N)c3c2-c2oc3ccc(C)cc3c2C)CC1,7
Cc1ccc2oc(-c3c4c(N)n[nH]c(=O)c4nn3C3CCN(C(=O)/C=C/CN4CCC4)CC3)c(C)c2c1,7
C=CC(=O)N1CCC(n2nc3c(=O)[nH]nc(N)c3c2-c2oc3ccc(C)cc3c2C)CC1,7
Cc1c(-c2c3c(N)n[nH]c(=O)c3nn2-c2ccc(NC(=O)/C=C/CN(C)C)cc2)oc2ccc(Cl)cc12,7
C=CC(=O)Nc1ccc(-n2nc3c(=O)[nH]nc(N)c3c2-c2oc3ccc(Cl)cc3c2C)cc1,7
CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,8.128427064
